avg_assists,avg_bonus,avg_bps,avg_clean_sheets,avg_creativity,avg_goals_conceded,avg_goals_scored,avg_ict_index,avg_influence,avg_minutes,avg_opponent_team,avg_own_goals,avg_penalties_missed,avg_penalties_saved,avg_red_cards,avg_saves,avg_threat,avg_total_points,avg_value,was_home,avg_yellow_cards,position,actual_points,actual_minutes
0.2,0.0,11.0,0.0,6.5,2.2,0.0,2.1399999999999997,13.080000000000002,81.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1.4,50.0,0.0,0.0,2.0,5.0,90
0.2,0.2,16.2,0.2,11.82,1.8,0.0,3.28,19.400000000000002,90.0,10.0,0.0,0.0,0.0,0.0,0.0,1.6,2.6,50.0,1.0,0.2,2.0,6.0,90
0.2,0.6,22.8,0.6,11.6,1.2,0.0,3.7600000000000002,24.680000000000003,90.0,7.8,0.0,0.0,0.0,0.0,0.0,1.2,4.8,50.0,1.0,0.2,2.0,1.0,90
0.2,0.6,24.0,0.6,24.979999999999997,1.0,0.0,5.36,26.879999999999995,90.0,9.0,0.0,0.0,0.0,0.0,0.0,1.6,5.0,50.0,0.0,0.2,2.0,3.0,90
0.2,0.4,21.8,0.6,22.32,1.2,0.0,4.619999999999999,22.2,90.0,7.2,0.0,0.0,0.0,0.0,0.0,1.6,4.6,50.2,1.0,0.4,2.0,7.0,75
0.4,0.8,23.0,0.4,24.919999999999998,1.4,0.0,5.119999999999999,24.4,87.0,10.0,0.0,0.0,0.0,0.0,0.0,1.8,5.0,50.4,0.0,0.2,2.0,0.0,0
0.4,0.8,17.6,0.2,24.7,1.4,0.0,4.659999999999999,20.080000000000002,69.0,13.2,0.0,0.0,0.0,0.0,0.0,1.8,3.8,50.6,0.0,0.2,2.0,1.0,90
0.4,0.4,13.2,0.0,25.419999999999998,1.6,0.0,4.34,16.12,69.0,11.8,0.0,0.0,0.0,0.0,0.0,1.8,2.4,50.8,1.0,0.4,2.0,2.0,90
0.2,0.4,10.0,0.0,9.4,0.8,0.0,3.16,11.6,69.0,10.4,0.0,0.0,0.0,0.0,0.0,10.4,2.4,51.0,0.0,0.2,2.0,0.0,90
0.2,0.4,15.6,0.2,16.7,1.2,0.0,4.619999999999999,18.32,90.0,7.4,0.0,0.0,0.0,0.0,0.0,11.0,3.2,51.0,0.0,0.4,2.0,0.0,90
0.2,0.4,16.0,0.2,15.1,1.8,0.0,4.539999999999999,19.24,90.0,7.8,0.0,0.0,0.0,0.0,0.0,11.0,3.0,51.0,0.0,0.2,2.0,3.0,90
0.4,0.4,20.0,0.2,21.88,2.8,0.0,5.540000000000001,25.439999999999998,90.0,10.2,0.0,0.0,0.0,0.0,0.0,8.0,2.8,51.0,1.0,0.4,2.0,6.0,90
